Année;Rendement Annuels
2010;0.34328988282782946
2011;0.05042606379205905
2012;0.3577476970169975
2013;0.05869599257681668
2014;0.09461874260533931
2015;0.4248624389488087
2016;-0.0341209549142697
2017;0.21636741948963767
2018;0.12394755744595276
2019;0.37936631920836783
2020;0.10585206302627381
2021;0.5362694082122774
2022;-0.3968406259803887
2023;0.29069773850374303
2024;-0.034338579999999896
