Marché;CAC;;;;;;;;;;;
TECH;;1;;;;;;;;;;
iShares ST E 600 Technol Dis (XETR:EXV3);DASSAULT SYSTEMES SE (XPAR:DSY);;;;;;;;;;;
Clôture;Date;Clôture;Ouverture;Plus haut;Plus bas;Volume;Taux de Variation Mensuelle;Taux de Variation Trimestrielle;Taux de Variation Annuelle;Taux de variation du marché;Variance de la rentabilité du marché;Covarience Actif marché
 € 22,35 ;01/11/2012; € 8,61 ; € 8,28 ; € 8,78 ; € 8,05 ;3 770 887;0,04733908;;;0,077175829;0,002240988;0,003653433
 € 22,81 ;01/12/2012; € 8,45 ; € 8,70 ; € 8,72 ; € 8,32 ;2 591 980;-0,018880655;Trimestre 3;;0,020372715;0,000356479;-0,00038465
 € 23,66 ;01/01/2013; € 8,21 ; € 8,52 ; € 8,65 ; € 8,18 ;3 793 497;-0,028093084;0,000365408;;0,036586822;0,000789221;-0,001027837
 € 24,20 ;01/02/2013; € 8,60 ; € 8,21 ; € 8,83 ; € 7,82 ;4 517 986;0,04627647;;Anné 3;0,022566775;0,002141512;0,001044311
 € 24,38 ;01/03/2013; € 8,95 ; € 8,72 ; € 9,10 ; € 8,65 ;3 428 946;0,039435309;Trimestre 4;0,319764012;0,007410491;0,001555144;0,000292235
 € 24,38 ;01/04/2013; € 9,20 ; € 9,01 ; € 9,32 ; € 8,57 ;4 707 634;0,02777344;0,120175332;;0;0,000771364;0
 € 24,90 ;01/05/2013; € 9,53 ; € 9,25 ; € 9,78 ; € 9,09 ;4 702 523;0,034716437;;;0,021104679;0,001205231;0,000732679
 € 24,07 ;01/06/2013; € 9,52 ; € 9,71 ; € 9,84 ; € 9,17 ;4 670 942;-0,00031501;Trimestre 1;;-0,033901552;9,92315E-08;1,06793E-05
 € 24,96 ;01/07/2013; € 9,85 ; € 9,42 ; € 10,30 ; € 9,38 ;4 111 827;0,033561929;0,070326087;;0,036308292;0,001126403;0,001218576
 € 25,09 ;01/08/2013; € 9,71 ; € 9,94 ; € 10,16 ; € 9,63 ;3 243 819;-0,014525624;;;0,005194817;0,000210994;-7,5458E-05
 € 27,27 ;01/09/2013; € 9,89 ; € 9,77 ; € 10,07 ; € 9,49 ;3 626 973;0,018478398;Trimestre 2;;0,083317836;0,000341451;0,00153958
 € 27,11 ;01/10/2013; € 8,81 ; € 9,83 ; € 10,05 ; € 8,01 ;8 273 436;-0,115232175;-0,105311262;;-0,005884533;0,013278454;0,000678088
 € 28,03 ;01/11/2013; € 8,45 ; € 8,94 ; € 8,98 ; € 8,40 ;3 870 983;-0,04231289;;;0,033372702;0,001790381;-0,001412095
 € 28,37 ;01/12/2013; € 9,07 ; € 8,45 ; € 9,17 ; € 8,24 ;4 823 623;0,07172842;Trimestre 3;;0,012056884;0,005144966;0,000864821
 € 26,97 ;01/01/2014; € 8,89 ; € 9,11 ; € 9,13 ; € 8,59 ;4 430 754;-0,02003852;0,009421112;;-0,050607112;0,000401542;0,001014092
 € 28,16 ;01/02/2014; € 8,27 ; € 8,84 ; € 8,97 ; € 7,85 ;6 984 428;-0,073234719;;;0,043177394;0,005363324;-0,003162084
 € 28,19 ;01/03/2014; € 8,57 ; € 8,27 ; € 8,62 ; € 8,16 ;4 347 434;0,035771148;Trimestre 4;Anné 4;0,001064774;0,001279575;3,80882E-05
 € 27,15 ;01/04/2014; € 8,74 ; € 8,50 ; € 9,39 ; € 8,24 ;4 016 356;0,020452501;-0,016867199;-0,049673913;-0,037590259;0,000418305;-0,000768815
 € 28,19 ;01/05/2014; € 9,37 ; € 8,88 ; € 9,42 ; € 8,79 ;3 606 465;0,069686519;;;0,037590259;0,004856211;0,002619534
 € 27,72 ;01/06/2014; € 9,41 ; € 9,31 ; € 9,64 ; € 9,22 ;3 583 337;0,003301563;Trimestre 1;;-0,016813131;1,09003E-05;-5,55096E-05
 € 28,07 ;01/07/2014; € 9,92 ; € 9,42 ; € 10,08 ; € 9,26 ;5 848 528;0,053311459;0,134621983;;0,012547216;0,002842112;0,00066891
 € 28,95 ;01/08/2014; € 10,03 ; € 10,00 ; € 10,16 ; € 9,36 ;5 003 279;0,011426405;;;0,030868814;0,000130563;0,00035272
 € 29,03 ;01/09/2014; € 10,35 ; € 10,07 ; € 10,56 ; € 10,00 ;5 424 912;0,030813938;Trimestre 2;;0,002759574;0,000949499;8,50333E-05
 € 27,71 ;01/10/2014; € 9,96 ; € 10,16 ; € 10,34 ; € 9,22 ;8 086 900;-0,038216193;0,004032258;;-0,046536419;0,001460477;0,001778445
 € 29,54 ;01/11/2014; € 10,48 ; € 10,11 ; € 10,70 ; € 9,88 ;4 309 478;0,050509855;;;0,063951918;0,002551245;0,003230202
 € 30,38 ;01/12/2014; € 10,04 ; € 10,50 ; € 10,61 ; € 9,48 ;5 408 989;-0,042509812;Trimestre 3;;0,02803922;0,001807084;-0,001191942
 € 31,89 ;01/01/2015; € 10,99 ; € 10,15 ; € 11,06 ; € 9,77 ;5 006 706;0,090772555;0,103815261;;0,048507984;0,008239657;0,004403194
 € 34,40 ;01/02/2015; € 12,50 ; € 10,97 ; € 12,70 ; € 10,63 ;7 599 064;0,128378975;;;0,075764083;0,016481161;0,009726515
 € 35,00 ;01/03/2015; € 12,66 ; € 12,56 ; € 12,85 ; € 12,01 ;7 085 549;0,012876738;Trimestre 4;;0,017291497;0,00016581;0,000222658
